Clusters,KNN,Error,Algorithm
1.0,1,1.3155282,0
15.0,1,0.8928487,0
5.0,1,0.86468613,0
1.0,50,0.6496765,0
15.0,50,0.7205307,0
5.0,50,0.69032025,0
1.0,3,0.804552,0
15.0,3,0.8447401,0
5.0,3,0.78002346,0
1.0,500,0.6496765,0
15.0,500,0.6613134,0
5.0,500,0.65282625,0
1.0,300,0.6496765,0
15.0,300,0.68614316,0
5.0,300,0.65282625,0
1.0,30,0.6446496,0
15.0,30,0.7257487,0
5.0,30,0.6943671,0
1.0,1,1.3472891,1
15.0,1,0.8398414,1
5.0,1,0.9139592,1
1.0,50,0.6496765,1
15.0,50,0.6608758,1
5.0,50,0.66557366,1
1.0,3,0.6987743,1
15.0,3,0.7131281,1
5.0,3,0.70664716,1
1.0,500,0.6496765,1
15.0,500,0.66246635,1
5.0,500,0.65282625,1
1.0,300,0.6496765,1
15.0,300,0.65924996,1
5.0,300,0.65282625,1
1.0,30,0.6475236,1
15.0,30,0.6631746,1
5.0,30,0.65575963,1
1.0,0,0.6497,2
15.0,0,0.6598,2
5.0,0,0.6528,2
1.0,0,0.7832,3
15.0,0,0.8042,3
5.0,0,0.7926,3
